"","Sample.ID","Sampling.Site","Start.Date.Time","Stop.Date.Time","Phase","Mud","Ethane","Ethene","Propane","Propene","i.Butane","n.Butane","Ethyne","trans.2.Butene","X1.Butene","cis.2.Butene","Cycopentane","i.Pentane","n.Pentane","trans.2.Pentene","X1.Pentene","cis.2.Pentene","n.Hexane","Isoprene","X2.4.Dimethylpentane","n.Heptane","Benzene","Cyclohexane","X2.3.Dimethylpentane","X2.Methylhexane","X3.Methylhexane","X2.2.4.Trimethylpentane","Methylcyclohexane","X2.3.4.Trimethylpentane","Toluene","X2.Methylheptane","X3.Methylheptane","n.Octane","Ethylbenzene","m..and.p.Xylene","Styrene","o.Xylene","n.Nonane","i.Propylbenzene","n.Propylbenzene","X3.Ethyltoluene","X4.Ethyltoluene","X1.3.5.Trimethylbenzene","X2.Ethyltoluene","X1.2.4.Trimethylbenzene","n.Decane","X1.2.3.Trimethylbenzene","X1.3.Diethylbenzene","X1.4.Diethylbenzene","C2HCl3","C2Cl4","Methane","Ozone"
"11","SS-6.0-38_CCOB Anthem01 IMPACT_20190926_20191003","Anthem",2019-09-26,2019-10-03,"drilling","neoflow",9.858,0.337,5.841,0.08,0.969,2.719,0.23,0.012,0.008,0.006,0.086,0.85,0.966,0.004,0.018,0.007,0.49,0.019,0.012,0.229,0.131,0.166,0.089,0.043,0.09,0.043,0.297,0.011,0.248,0.094,0.059,0.245,0.035,0.123,0.008,0.053,0.382,0.038,0.012,0.019,0.015,0.005,0.009,0.029,0.753,0.078,0.011,0.007,0.014,0.002,2004,41.19705
"12","SS-6.0-57_CCOB Anthem01 IMPACT_20191003_20191010","Anthem",2019-10-03,2019-10-10,"drilling","neoflow",16.615,0.609,8.697,0.148,1.483,4.262,0.42,0.012,0.026,0.006,0.157,1.434,1.695,0.004,0.018,0.007,0.945,0.009,0.048,0.494,0.242,0.365,0.184,0.071,0.234,0.114,0.588,0.011,0.503,0.168,0.15,0.433,0.052,0.205,0.008,0.081,0.571,0.043,0.012,0.023,0.015,0.012,0.009,0.04,0.932,0.078,0.011,0.007,0.03,0.003,2010,50.4824
"13","SS-6.0-25_CCOB Anthem01 IMPACT_20191010_20191017","Anthem",2019-10-10,2019-10-17,"drilling","neoflow",15.076,0.874,8.033,0.162,1.449,4.018,0.509,0.015,0.03,0.012,0.169,1.424,1.684,0.004,0.018,0.007,1.082,0.016,0.056,0.803,0.367,0.503,0.267,0.117,0.355,0.181,0.922,0.011,0.673,0.306,0.231,0.823,0.108,0.382,0.008,0.165,1.112,0.078,0.012,0.043,0.015,0.024,0.009,0.066,1.336,0.078,0.011,0.007,0.019,0.001,2010,49.67665
"14","SS-6.0-36_CCOB_ANTHEM_01_IMPACT_20191017_20191024","Anthem",2019-10-17,2019-10-24,"drilling","neoflow",10.693,0.407,5.397,0.089,0.966,2.518,0.263,0.014,0.019,0.006,0.083,0.86,0.922,0.004,0.018,0.007,0.498,0.004,0.025,0.261,0.13,0.202,0.095,0.033,0.102,0.047,0.357,0.011,0.233,0.085,0.077,0.257,0.042,0.153,0.008,0.058,0.382,0.026,0.012,0.019,0.015,0.005,0.009,0.026,0.73,0.078,0.011,0.007,0.009,0.001,2065,44.64705
"15","SS-6.0-26_CCOB Anthem01 IMPACT_20191024_20191031","Anthem",2019-10-24,2019-10-31,"drilling","neoflow",41.831,0.815,20.012,0.143,3.264,8.491,0.517,0.015,0.03,0.006,0.219,2.663,2.886,0.004,0.018,0.007,1.3,0.016,0.054,0.498,0.262,0.476,0.215,0.083,0.315,0.136,0.776,0.011,0.435,0.155,0.086,0.323,0.06,0.171,0.008,0.054,0.284,0.029,0.012,0.02,0.015,0.005,0.009,0.037,0.416,0.078,0.011,0.007,0.01,0.004,2173,41.26165
"16","SS-6.0-32_CCOB Anthem01 IMPACT_20191031_20191107","Anthem",2019-10-31,2019-11-07,"drilling","neoflow",22.843,1.472,12.89,0.222,2.261,6.136,0.898,0.018,0.035,0.02,0.181,1.931,2.019,0.004,0.018,0.007,1.141,0.01,0.058,0.67,0.26,0.458,0.254,0.092,0.331,0.179,0.949,0.011,0.662,0.232,0.151,0.557,0.083,0.388,0.008,0.135,0.56,0.045,0.012,0.034,0.015,0.017,0.009,0.053,0.842,0.078,0.011,0.007,0.011,0.001,2100,40.2678
"17","SS-6.0-12_CCOB Anthem01 IMPACT_20191107_20191114","Anthem",2019-11-07,2019-11-14,"drilling","neoflow",18.572,1.328,9.771,0.194,1.831,4.974,0.842,0.022,0.035,0.018,0.165,1.679,1.847,0.004,0.018,0.007,1.053,0.01,0.043,0.541,0.276,0.429,0.225,0.092,0.303,0.14,0.774,0.011,0.601,0.202,0.157,0.535,0.09,0.307,0.008,0.107,0.663,0.047,0.012,0.034,0.015,0.017,0.009,0.053,0.986,0.078,0.011,0.007,0.03,0.007,2101,44.1144
"18","SS-6.0-43_CCOB_ANTHEM_01_IMPACT_20191114_20191121","Anthem",2019-11-14,2019-11-21,"drilling","neoflow",16.619,1.057,7.953,0.172,1.514,3.867,0.714,0.023,0.028,0.022,0.088,1.197,1.151,0.004,0.018,0.007,0.479,0.002,0.037,0.155,0.193,0.134,0.1,0.047,0.102,0.062,0.185,0.011,0.367,0.045,0.029,0.079,0.044,0.156,0.008,0.043,0.057,0.009,0.012,0.017,0.015,0.005,0.009,0.027,0.123,0.078,0.011,0.007,0.031,0.003,1904,37.8735
"19","SS-6.0-36_CCOB_ANTHEM_01_IMPACT_20191121_20191128","Anthem",2019-11-21,2019-11-28,"pre",NA,14.331,1.021,7.042,0.151,1.209,3.095,0.773,0.008,0.018,0.006,0.074,0.908,0.928,0.004,0.018,0.007,0.335,0.002,0.012,0.132,0.174,0.108,0.062,0.036,0.093,0.042,0.137,0.011,0.227,0.033,0.02,0.07,0.04,0.093,0.008,0.04,0.035,0.009,0.012,0.009,0.015,0.005,0.009,0.016,0.032,0.078,0.011,0.007,0.018,0.003,2037,44.98565
"20","SS-6.0-31_CCOB_ANTHEM_01_IMPACT_20191128_20191205","Anthem",2019-11-28,2019-12-05,"pre",NA,28.827,1.668,14.836,0.233,2.602,6.787,1.321,0.019,0.035,0.014,0.142,1.908,1.971,0.004,0.018,0.007,0.745,0.008,0.039,0.231,0.296,0.228,0.127,0.063,0.16,0.097,0.294,0.011,0.418,0.061,0.038,0.125,0.05,0.177,0.008,0.06,0.074,0.009,0.012,0.019,0.015,0.005,0.009,0.028,0.082,0.078,0.011,0.007,0.037,0.018,2170,44.72075
