"","Sample.ID","Sampling.Site","Start.Date.Time","Stop.Date.Time","Phase","Mud","Ethane","Ethene","Propane","Propene","i.Butane","n.Butane","Ethyne","trans.2.Butene","X1.Butene","cis.2.Butene","Cycopentane","i.Pentane","n.Pentane","trans.2.Pentene","X1.Pentene","cis.2.Pentene","n.Hexane","Isoprene","X2.4.Dimethylpentane","n.Heptane","Benzene","Cyclohexane","X2.3.Dimethylpentane","X2.Methylhexane","X3.Methylhexane","X2.2.4.Trimethylpentane","Methylcyclohexane","X2.3.4.Trimethylpentane","Toluene","X2.Methylheptane","X3.Methylheptane","n.Octane","Ethylbenzene","m..and.p.Xylene","Styrene","o.Xylene","n.Nonane","i.Propylbenzene","n.Propylbenzene","X3.Ethyltoluene","X4.Ethyltoluene","X1.3.5.Trimethylbenzene","X2.Ethyltoluene","X1.2.4.Trimethylbenzene","n.Decane","X1.2.3.Trimethylbenzene","X1.3.Diethylbenzene","X1.4.Diethylbenzene","C2HCl3","C2Cl4","Methane","Ozone"
"287","SS-6.0-15_CCOB_COMMONS_01_IMPACT_20200213_20200220","Commons",2020-02-13,2020-02-20,NA,NA,18.601,1.525,7.959,0.219,1.522,4.065,1.184,0.023,0.036,0.017,0.101,1.186,1.168,0.004,0.018,0.007,0.426,0.002,0.012,0.157,0.218,0.137,0.083,0.047,0.1,0.071,0.169,0.011,0.305,0.033,0.026,0.078,0.041,0.139,0.008,0.049,0.038,0.009,0.012,0.019,0.015,0.005,0.009,0.032,0.028,0.078,0.011,0.007,0.014,0.004,2028,45.27335
"288","SS-6.0-25_CCOB_COMMONS_01_IMPACT_20200220_20200227","Commons",2020-02-20,2020-02-27,NA,NA,18.351,1.557,7.788,0.219,1.544,4.132,1.109,0.024,0.039,0.017,0.097,1.233,1.22,0.004,0.018,0.007,0.504,0.01,0.012,0.161,0.275,0.137,0.088,0.052,0.113,0.079,0.176,0.011,0.335,0.042,0.023,0.071,0.035,0.161,0.008,0.052,0.03,0.009,0.012,0.017,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.019,0.008,2026,48.51775
"289","SS-6.0-48_CCOB_COMMONS_01_IMPACT_20200227_20200305","Commons",2020-02-27,2020-03-05,NA,NA,11.384,0.736,4.402,0.095,0.852,2.12,0.611,0.021,0.022,0.006,0.052,0.639,0.603,0.004,0.018,0.007,0.232,0.002,0.012,0.061,0.109,0.082,0.042,0.024,0.054,0.043,0.108,0.011,0.156,0.014,0.016,0.034,0.016,0.07,0.008,0.033,0.011,0.009,0.012,0.007,0.015,0.005,0.009,0.01,0.013,0.078,0.011,0.007,0.013,0.003,1971,49.0116
"290","SS-6.0-15_CCOB_COMMONS_01_IMPACT_20200305_20200312","Commons",2020-03-05,2020-03-12,NA,NA,7.631,0.712,1.898,0.127,0.442,1.078,0.542,0.013,0.017,0.006,0.031,0.398,0.292,0.004,0.018,0.007,0.111,0.002,0.012,0.045,0.1,0.083,0.038,0.025,0.042,0.039,0.021,0.011,0.208,0.014,0.005,0.027,0.025,0.075,0.008,0.011,0.011,0.009,0.012,0.008,0.015,0.005,0.009,0.014,0.013,0.078,0.011,0.007,0.015,0.002,1923,49.05885
"291","SS-6.0-21_CCOB_COMMONS_01_IMPACT_20200312_20200319","Commons",2020-03-12,2020-03-19,NA,NA,17.339,0.934,9.231,0.138,1.681,4.614,0.73,0.013,0.026,0.014,0.105,1.323,1.408,0.004,0.018,0.007,0.518,0.002,0.035,0.159,0.201,0.152,0.077,0.043,0.102,0.058,0.162,0.011,0.238,0.036,0.018,0.083,0.035,0.093,0.008,0.041,0.041,0.009,0.012,0.015,0.015,0.005,0.009,0.022,0.027,0.078,0.011,0.007,0.015,0.005,2047,34.1766
"292","SS-6.0-12_CCOB_COMMONS_01_IMPACT_20200319_20200326","Commons",2020-03-19,2020-03-26,NA,NA,8.538,0.675,3.026,0.135,0.585,1.52,0.525,0.016,0.024,0.013,0.037,0.497,0.478,0.004,0.018,0.007,0.216,0.01,0.012,0.089,0.118,0.1,0.042,0.018,0.041,0.035,0.075,0.011,0.181,0.014,0.016,0.053,0.02,0.072,0.008,0.024,0.032,0.009,0.012,0.012,0.015,0.005,0.009,0.018,0.013,0.078,0.011,0.007,0.012,0.002,1975,48.0231
"293","SS-6.0-34_CCOB_COMMONS_01_IMPACT_20200326_20200402","Commons",2020-03-26,2020-04-02,NA,NA,7.353,0.4,2.919,0.07,0.467,1.222,0.401,0.015,0.008,0.006,0.036,0.374,0.385,0.004,0.018,0.007,0.155,0.002,0.012,0.056,0.093,0.068,0.016,0.016,0.028,0.012,0.048,0.011,0.104,0.014,0.005,0.052,0.017,0.049,0.008,0.011,0.033,0.009,0.012,0.003,0.015,0.005,0.009,0.01,0.031,0.078,0.011,0.007,0.014,0.001,1904,48.3731
"294","SS-6.0-20 _CCOB_COMMONS_01_IMPACT_20200402_20200409","Commons",2020-04-02,2020-04-09,NA,NA,8.353,0.567,4.009,0.155,0.694,1.908,0.343,0.017,0.023,0.006,0.051,0.589,0.617,0.004,0.018,0.007,0.262,0.007,0.012,0.103,0.133,0.151,0.06,0.025,0.043,0.044,0.11,0.011,0.168,0.014,0.016,0.065,0.025,0.097,0.008,0.011,0.037,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.013,0.004,1886,52.8733
"295","SS-6.0-25_CCOB_COMMONS_01_IMPACT_20200409_20200416","Commons",2020-04-09,2020-04-16,NA,NA,7.103,0.49,2.479,0.075,0.403,0.988,0.445,0.014,0.016,0.006,0.032,0.321,0.31,0.004,0.018,0.007,0.123,0.006,0.012,0.046,0.142,0.019,0.016,0.022,0.022,0.012,0.021,0.011,0.085,0.014,0.005,0.021,0.014,0.034,0.008,0.011,0.034,0.009,0.012,0.003,0.015,0.005,0.009,0.01,0.031,0.078,0.011,0.007,0.008,0.001,1949,52.8002
"296","SS-6.0-42_CCOB_COMMONS_01_IMPACT_20200416_20200423","Commons",2020-04-16,2020-04-23,NA,NA,10.574,0.786,4.347,0.147,0.745,1.883,0.659,0.017,0.029,0.006,0.056,0.665,0.612,0.004,0.018,0.007,0.274,0.006,0.026,0.112,0.127,0.046,0.037,0.014,0.047,0.04,0.068,0.011,0.259,0.014,0.02,0.049,0.033,0.076,0.008,0.024,0.03,0.022,0.012,0.012,0.015,0.005,0.009,0.019,0.013,0.078,0.011,0.007,0.019,0.003,1960,56.90015
"297","SS-6.0-19_CCOB_COMMONS_01_IMPACT_20200423_20200430","Commons",2020-04-23,2020-04-30,NA,NA,6.513,0.519,2.369,0.109,0.418,1.086,0.402,0.016,0.02,0.013,0.04,0.484,0.415,0.004,0.018,0.007,0.197,0.013,0.012,0.076,0.108,0.072,0.041,0.031,0.046,0.035,0.053,0.011,0.183,0.014,0.019,0.06,0.03,0.119,0.008,0.042,0.054,0.009,0.012,0.015,0.015,0.005,0.009,0.026,0.054,0.078,0.011,0.007,0.012,0.002,1980,54.6913
"298","SS-6.0-63_CCOB_COMMONS_01_IMPACT_20200430_20200507","Commons",2020-04-30,2020-05-07,NA,NA,5.76,0.375,2.332,0.098,0.477,1.279,0.313,0.009,0.017,0.006,0.038,0.57,0.448,0.004,0.018,0.007,0.157,0.008,0.012,0.049,0.098,0.053,0.035,0.034,0.034,0.04,0.058,0.011,0.178,0.014,0.013,0.032,0.022,0.065,0.008,0.011,0.026,0.009,0.012,0.011,0.015,0.005,0.009,0.018,0.027,0.078,0.011,0.007,0.011,0.001,1911,55.3938
"299","SS-6.0-53_CCOB_COMMONS_01_IMPACT_20200507_20200514","Commons",2020-05-07,2020-05-14,NA,NA,7.1,0.376,3.234,0.067,0.492,1.312,0.327,0.007,0.008,0.006,0.03,0.446,0.428,0.004,0.018,0.007,0.184,0.002,0.012,0.044,0.081,0.055,0.033,0.029,0.029,0.012,0.052,0.011,0.138,0.014,0.005,0.029,0.012,0.036,0.008,0.011,0.023,0.009,0.012,0.007,0.015,0.005,0.009,0.01,0.029,0.078,0.011,0.007,0.01,0.003,1988,49.75595
"300","SS-6.0-15_CCOB_COMMONS_01_IMPACT_20200514_20200521","Commons",2020-05-14,2020-05-21,NA,NA,6.471,0.367,3.186,0.086,0.511,1.389,0.266,0.008,0.018,0.006,0.037,0.48,0.443,0.004,0.018,0.007,0.155,0.022,0.012,0.049,0.089,0.076,0.016,0.02,0.026,0.012,0.054,0.011,0.159,0.014,0.005,0.033,0.014,0.043,0.008,0.023,0.011,0.009,0.012,0.01,0.015,0.005,0.009,0.018,0.013,0.078,0.011,0.007,0.01,0.001,1956,61.0578
"301","SS-6.0-16_CCOB_COMMONS_01_IMPACT_20200521_20200528","Commons",2020-05-21,2020-05-28,NA,NA,4.641,0.386,2.475,0.075,0.301,0.813,0.213,0.008,0.008,0.006,0.024,0.351,0.295,0.004,0.018,0.007,0.098,0.01,0.012,0.166,0.076,0.043,0.114,0.057,0.167,0.025,0.042,0.011,1.67,0.014,0.005,0.038,0.026,0.094,0.008,0.029,0.023,0.009,0.012,0.009,0.015,0.005,0.009,0.013,0.013,0.078,0.011,0.007,0.009,0.002,1890,56.30855
"302","SS-6.0-10_CCOB_COMMONS_01_IMPACT_20200528_20200604","Commons",2020-05-28,2020-06-04,NA,NA,5.023,0.42,2.493,0.11,0.433,1.191,0.25,0.007,0.028,0.006,0.039,0.612,0.467,0.004,0.018,0.007,0.173,0.089,0.012,0.088,0.096,0.019,0.037,0.023,0.109,0.03,0.046,0.011,0.443,0.014,0.01,0.049,0.026,0.117,0.008,0.035,0.029,0.009,0.012,0.016,0.015,0.005,0.009,0.029,0.028,0.078,0.011,0.007,0.013,0.003,1936,47.68535
"303","SS-6.0-29_CCOB_COMMONS_01_IMPACT_20200604_20200611","Commons",2020-06-04,2020-06-11,NA,NA,4.131,0.398,1.58,0.1,0.282,0.735,0.223,0.011,0.022,0.006,0.028,0.451,0.312,0.004,0.018,0.007,0.107,0.095,0.012,0.054,0.068,0.043,0.036,0.028,0.034,0.035,0.061,0.011,0.315,0.014,0.005,0.018,0.027,0.098,0.008,0.025,0.011,0.009,0.012,0.014,0.015,0.005,0.009,0.025,0.033,0.078,0.011,0.007,0.011,0.002,1843,55.78725
"304","SS-6.0-34_CCOB_COMMONS_01_IMPACT_20200611_20200618","Commons",2020-06-11,2020-06-18,NA,NA,5.081,0.543,2.097,0.089,0.388,1.03,0.306,0.006,0.023,0.006,0.032,0.599,0.436,0.004,0.018,0.007,0.178,0.131,0.012,0.073,0.119,0.047,0.042,0.038,0.048,0.043,0.06,0.011,0.266,0.014,0.005,0.048,0.032,0.128,0.008,0.038,0.025,0.009,0.012,0.015,0.015,0.005,0.009,0.027,0.027,0.078,0.011,0.007,0.014,0.002,1920,63.8269
"305","SS-6.0-10_CCOB_COMMONS_01_IMPACT_20200618_20200625","Commons",2020-06-18,2020-06-25,NA,NA,5.121,0.443,2.186,0.088,0.373,0.942,0.27,0.007,0.008,0.006,0.029,0.467,0.378,0.004,0.018,0.007,0.14,0.095,0.012,0.047,0.084,0.019,0.016,0.016,0.033,0.027,0.045,0.011,0.209,0.014,0.005,0.026,0.017,0.079,0.008,0.025,0.011,0.009,0.012,0.014,0.015,0.005,0.009,0.025,0.013,0.078,0.011,0.007,0.011,0.002,1890,50.32325
"306","SS_6.0_47_CCOB_COMMONS_01_IMPACT_20200625_20200702","Commons",2020-06-25,2020-07-02,NA,NA,3.809,0.415,1.487,0.089,0.261,0.69,0.254,0.007,0.017,0.006,0.029,0.494,0.34,0.004,0.018,0.007,0.126,0.074,0.012,0.042,0.08,0.019,0.051,0.029,0.044,0.035,0.044,0.011,0.22,0.014,0.005,0.035,0.023,0.093,0.008,0.024,0.028,0.009,0.012,0.012,0.015,0.005,0.009,0.019,0.013,0.078,0.011,0.007,0.011,0.001,1936,56.8204
"307","SS_6.0_60_CCOB_COMMONS_01_IMPACT_20200702_20200709","Commons",2020-07-02,2020-07-09,NA,NA,4.565,0.455,2.087,0.084,0.335,0.873,0.244,0.003,0.008,0.006,0.04,0.568,0.411,0.004,0.018,0.007,0.168,0.105,0.012,0.061,0.172,0.066,0.049,0.047,0.044,0.053,0.053,0.011,0.308,0.014,0.019,0.038,0.035,0.1,0.008,0.036,0.025,0.009,0.012,0.017,0.015,0.005,0.009,0.027,0.041,0.078,0.011,0.007,0.01,0.001,1839,56.60895
"308","SS_6.0_41_CCOB_COMMONS_01_IMPACT_20200709_20200716","Commons",2020-07-09,2020-07-16,NA,NA,6.333,0.414,3.111,0.083,0.509,1.424,0.263,0.006,0.019,0.006,0.043,0.72,0.577,0.004,0.018,0.007,0.228,0.08,0.012,0.089,0.092,0.019,0.037,0.02,0.045,0.046,0.063,0.011,0.242,0.014,0.017,0.059,0.026,0.104,0.008,0.025,0.037,0.009,0.012,0.013,0.015,0.005,0.009,0.021,0.013,0.078,0.011,0.007,0.012,0.002,1956,65.0679
"309","SS_6.0_55_CCOB_COMMONS_01_IMPACT_20200716_20200723","Commons",2020-07-16,2020-07-23,NA,NA,5.399,0.457,2.446,0.084,0.399,1.065,0.283,0.003,0.008,0.006,0.036,0.594,0.456,0.004,0.018,0.007,0.103,0.075,0.012,0.062,0.097,0.019,0.037,0.028,0.025,0.041,0.051,0.011,0.235,0.014,0.005,0.028,0.027,0.094,0.008,0.011,0.023,0.009,0.012,0.014,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.013,0.002,1913,57.4941
"310","SS_6.0_54_CCOB_COMMONS_01_IMPACT_20200723_20200730","Commons",2020-07-23,2020-07-30,NA,NA,6.077,0.649,3.001,0.111,0.456,1.156,0.279,0.006,0.026,0.006,0.04,0.653,0.52,0.004,0.018,0.007,0.164,0.089,0.012,0.031,0.116,0.019,0.038,0.019,0.05,0.047,0.055,0.011,0.296,0.014,0.005,0.039,0.044,0.161,0.008,0.052,0.032,0.009,0.012,0.016,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.013,0.003,1912,53.7766
"311","SS_6.0_58_CCOB_COMMONS_01_IMPACT_20200730_20200806","Commons",2020-07-30,2020-08-06,NA,NA,6.456,0.382,3.25,0.087,0.482,1.27,0.284,0.003,0.008,0.006,0.04,0.574,0.477,0.004,0.018,0.007,0.166,0.056,0.012,0.059,0.082,0.063,0.034,0.021,0.057,0.038,0.021,0.011,0.209,0.014,0.005,0.04,0.023,0.075,0.008,0.03,0.028,0.009,0.012,0.015,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.012,0.002,1921,55.10295
"312","SS_6.0_25_CCOB_COMMONS_01_IMPACT_20200806_20200813","Commons",2020-08-06,2020-08-13,NA,NA,5.466,0.725,2.264,0.149,0.388,1.021,0.365,0.008,0.029,0.006,0.044,0.698,0.455,0.004,0.018,0.007,0.186,0.269,0.028,0.084,0.178,0.019,0.035,0.02,0.042,0.041,0.055,0.011,0.318,0.014,0.014,0.035,0.036,0.151,0.008,0.049,0.011,0.009,0.012,0.021,0.015,0.005,0.009,0.031,0.013,0.078,0.011,0.007,0.016,0.002,1906,66.6822
"313","SS_6.0_33_CCOB_COMMONS_01_IMPACT_20200813_20200820","Commons",2020-08-13,2020-08-20,NA,NA,6.788,0.79,3.252,0.164,0.51,1.301,0.486,0.007,0.035,0.006,0.045,0.786,0.531,0.004,0.018,0.007,0.207,0.157,0.012,0.061,0.193,0.057,0.061,0.052,0.056,0.047,0.058,0.011,0.333,0.014,0.01,0.038,0.044,0.147,0.008,0.048,0.025,0.009,0.012,0.031,0.015,0.011,0.009,0.04,0.013,0.078,0.011,0.007,0.021,0.002,2003,66.07055
"314","SS_6.0_23_CCOB_COMMONS_01_IMPACT_20200820_20200827","Commons",2020-08-20,2020-08-27,NA,NA,8.227,0.958,3.034,0.167,0.589,1.282,0.807,0.012,0.029,0.013,0.059,1.049,0.664,0.008,0.018,0.007,0.265,0.185,0.031,0.108,0.324,0.074,0.073,0.051,0.071,0.089,0.053,0.011,0.506,0.014,0.016,0.045,0.075,0.259,0.008,0.091,0.037,0.009,0.012,0.041,0.015,0.016,0.009,0.069,0.043,0.078,0.011,0.007,0.017,0.003,1937,79.63235
"315","SS_6.0_25_CCOB_COMMONS_01_IMPACT_20200827_20200903","Commons",2020-08-27,2020-09-03,NA,NA,4.972,0.528,2.042,0.122,0.357,0.883,0.403,0.01,0.02,0.013,0.035,0.595,0.413,0.004,0.018,0.007,0.157,0.135,0.026,0.067,0.166,0.051,0.036,0.028,0.044,0.047,0.045,0.011,0.255,0.014,0.01,0.034,0.035,0.145,0.008,0.032,0.028,0.009,0.012,0.023,0.015,0.005,0.009,0.037,0.013,0.078,0.011,0.007,0.014,0.003,1928,58.665
"316","SS_6.0_04_CCOB_COMMONS_01_IMPACT_20200903_20200910","Commons",2020-09-03,2020-09-10,NA,NA,6.571,1.02,2.602,0.218,0.436,1.068,0.515,0.008,0.041,0.006,0.043,0.745,0.518,0.004,0.018,0.007,0.204,0.241,0.012,0.067,0.214,0.06,0.048,0.046,0.053,0.058,0.021,0.011,0.374,0.014,0.014,0.045,0.055,0.212,0.008,0.066,0.038,0.009,0.012,0.025,0.015,0.005,0.009,0.045,0.062,0.078,0.011,0.007,0.017,0.002,1876,58.21275
"317","SS_6.0_54_CCOB_COMMONS_01_IMPACT_20200910_20200917","Commons",2020-09-10,2020-09-17,NA,NA,8.847,0.916,3.653,0.193,0.619,1.437,0.584,0.015,0.028,0.012,0.051,0.846,0.617,0.004,0.018,0.007,0.249,0.09,0.027,0.102,0.234,0.097,0.074,0.05,0.079,0.058,0.042,0.011,0.45,0.014,0.019,0.055,0.082,0.28,0.008,0.094,0.011,0.009,0.012,0.041,0.015,0.016,0.009,0.058,0.013,0.078,0.011,0.007,0.015,0.002,1948,58.6121
"318","SS_6.0_25_CCOB_COMMONS_01_IMPACT_20200917_20200924","Commons",2020-09-17,2020-09-24,NA,NA,10.313,1.061,3.903,0.229,0.686,1.661,0.737,0.015,0.034,0.018,0.061,1.075,0.718,0.012,0.018,0.007,0.247,0.141,0.028,0.109,0.286,0.094,0.081,0.063,0.076,0.098,0.051,0.011,0.499,0.014,0.014,0.051,0.058,0.245,0.008,0.079,0.036,0.009,0.012,0.035,0.015,0.016,0.009,0.065,0.048,0.078,0.011,0.007,0.02,0.004,1983,61.82945
"319","SS_6.0_16_CCOB_COMMONS_01_IMPACT_20200924_20201001","Commons",2020-09-24,2020-10-01,NA,NA,8.672,0.951,3.445,0.246,0.647,1.568,0.548,0.02,0.036,0.014,0.05,0.861,0.643,0.009,0.018,0.007,0.253,0.083,0.012,0.099,0.187,0.081,0.059,0.036,0.058,0.062,0.057,0.011,0.352,0.014,0.017,0.038,0.042,0.167,0.008,0.055,0.031,0.009,0.012,0.025,0.015,0.011,0.009,0.042,0.041,0.078,0.011,0.007,0.016,0.003,1993,58.42355
"320","SS_6.0_38_CCOB_COMMONS_01_IMPACT_20201001_20201008","Commons",2020-10-01,2020-10-08,NA,NA,9.956,1.292,3.314,0.221,0.718,1.672,0.788,0.022,0.038,0.026,0.052,1.093,0.723,0.021,0.018,0.007,0.273,0.051,0.029,0.119,0.255,0.088,0.079,0.064,0.079,0.08,0.046,0.011,0.476,0.03,0.028,0.045,0.063,0.223,0.008,0.072,0.027,0.009,0.012,0.033,0.015,0.013,0.009,0.055,0.03,0.078,0.011,0.007,0.02,0.003,1986,64.15
"321","SS_6.0_44_CCOB_COMMONS_01_IMPACT_20201008_20201015","Commons",2020-10-08,2020-10-15,NA,NA,6.238,0.681,2.44,0.119,0.473,1.169,0.423,0.009,0.02,0.006,0.037,0.605,0.437,0.004,0.018,0.007,0.15,0.031,0.012,0.073,0.127,0.052,0.052,0.034,0.042,0.039,0.021,0.011,0.249,0.014,0.014,0.032,0.029,0.124,0.008,0.032,0.023,0.009,0.012,0.02,0.015,0.005,0.009,0.031,0.013,0.078,0.011,0.007,0.014,0.002,1957,55.72355
"322","SS_6.0_23_CCOB_COMMONS_01_IMPACT_20201015_20201022","Commons",2020-10-15,2020-10-22,NA,NA,12.21,1.16,5.524,0.247,1.004,2.624,0.707,0.016,0.008,0.006,0.063,0.919,0.821,0.004,0.018,0.007,0.289,0.009,0.012,0.081,0.183,0.097,0.075,0.046,0.058,0.043,0.07,0.011,0.287,0.014,0.016,0.048,0.03,0.124,0.008,0.046,0.024,0.009,0.012,0.019,0.015,0.005,0.009,0.029,0.013,0.078,0.011,0.007,0.015,0.004,2047,35.95435
"323","SS_6.0_57_CCOB_COMMONS_01_IMPACT_20201022_20201029","Commons",2020-10-22,2020-10-29,NA,NA,15.368,1.517,7.07,0.204,1.212,3.144,1.019,0.015,0.03,0.014,0.07,0.962,0.894,0.004,0.018,0.007,0.31,0.006,0.012,0.116,0.216,0.085,0.067,0.053,0.065,0.046,0.065,0.011,0.282,0.029,0.026,0.037,0.035,0.134,0.008,0.043,0.037,0.009,0.012,0.016,0.015,0.005,0.009,0.028,0.013,0.078,0.011,0.007,0.013,0.004,2139,41.65325
"324","SS_6.0_44_CCOB_COMMONS_01_IMPACT_20201029_20201106","Commons",2020-10-29,2020-11-05,NA,NA,15.034,1.796,5.803,0.288,1.197,2.942,1.077,0.029,0.046,0.025,0.08,1.268,0.944,0.012,0.018,0.007,0.398,0.029,0.043,0.157,0.214,0.132,0.121,0.082,0.099,0.106,0.088,0.011,0.562,0.045,0.024,0.058,0.079,0.285,0.008,0.082,0.049,0.009,0.012,0.039,0.015,0.013,0.009,0.064,0.028,0.078,0.011,0.007,0.028,0.005,2025,43.10295
"325","SS_6.0_23_CCOB_COMMONS_01_IMPACT_20201105_20201112","Commons",2020-11-05,2020-11-12,NA,NA,10.115,1.088,3.736,0.175,0.758,2.051,0.684,0.019,0.024,0.014,0.052,0.777,0.617,0.004,0.018,0.007,0.253,0.016,0.025,0.092,0.15,0.075,0.066,0.042,0.058,0.057,0.061,0.011,0.275,0.014,0.013,0.041,0.037,0.14,0.008,0.047,0.026,0.009,0.012,0.019,0.015,0.005,0.009,0.034,0.032,0.078,0.011,0.007,0.017,0.005,2017,48.38255
"326","SS_6.0_21_CCOB_COMMONS_01_IMPACT_20201112_20201119","Commons",2020-11-12,2020-11-19,NA,NA,8.562,1.148,2.658,0.18,0.613,1.629,0.733,0.015,0.026,0.016,0.04,0.658,0.474,0.004,0.018,0.007,0.212,0.007,0.012,0.089,0.121,0.057,0.066,0.036,0.06,0.049,0.046,0.011,0.298,0.014,0.005,0.036,0.04,0.148,0.008,0.038,0.029,0.009,0.012,0.023,0.015,0.005,0.009,0.036,0.013,0.078,0.011,0.007,0.002,0.016,1985,44.81175
"327","SS_6.0_53_CCOB_COMMONS_01_IMPACT_20201119_20201126","Commons",2020-11-19,2020-11-26,NA,NA,14.308,1.488,4.817,0.223,0.94,2.403,0.983,0.011,0.025,0.006,0.053,0.818,0.653,0.004,0.018,0.007,0.243,0.008,0.012,0.095,0.181,0.089,0.064,0.039,0.055,0.051,0.068,0.011,0.306,0.014,0.019,0.047,0.04,0.148,0.008,0.053,0.027,0.009,0.012,0.019,0.015,0.005,0.009,0.032,0.013,0.078,0.011,0.007,0.003,0.016,2077,41.96455
"328","SS_6.0_40_CCOB_COMMONS_01_IMPACT_20201126_20201203","Commons",2020-11-26,2020-12-03,NA,NA,13.758,1.821,4.03,0.278,0.798,1.947,1.059,0.039,0.062,0.026,0.046,0.727,0.54,0.004,0.018,0.007,0.225,0.019,0.012,0.119,0.213,0.072,0.079,0.058,0.066,0.059,0.051,0.011,0.369,0.014,0.014,0.06,0.054,0.207,0.008,0.068,0.045,0.009,0.012,0.022,0.015,0.005,0.009,0.038,0.013,0.078,0.011,0.007,0.004,0.017,2056,45.92375
"329","SS_6.0_57_CCOB_COMMONS_01_IMPACT_20201203_20201210","Commons",2020-12-03,2020-12-10,NA,NA,19.21,2.626,4.064,0.42,1.3,2.943,1.519,0.048,0.069,0.042,0.06,1.192,0.683,0.036,0.018,0.02,0.344,0.023,0.035,0.167,0.247,0.114,0.115,0.065,0.114,0.148,0.077,0.036,0.708,0.036,0.033,0.064,0.092,0.346,0.008,0.111,0.054,0.009,0.012,0.046,0.015,0.019,0.022,0.08,0.035,0.078,0.011,0.007,0.006,0.031,2068,45.2031
"330","SS_6.0_29_CCOB_COMMONS_01_IMPACT_20201210_20201217","Commons",2020-12-10,2020-12-17,NA,NA,17.565,1.578,8.035,0.237,1.436,3.637,1.048,0.016,0.032,0.016,0.08,1.098,1.047,0.004,0.018,0.007,0.348,0.008,0.033,0.111,0.195,0.097,0.09,0.054,0.065,0.062,0.091,0.011,0.298,0.014,0.022,0.05,0.035,0.159,0.008,0.054,0.026,0.009,0.012,0.02,0.015,0.005,0.009,0.032,0.013,0.078,0.011,0.007,0.004,0.013,2097,42.4532
"331","SS_6.0_17_CCOB_COMMONS_01_IMPACT_20201217_20201224","Commons",2020-12-17,2020-12-24,NA,NA,13.235,1.493,5.028,0.241,1.013,2.445,0.965,0.03,0.034,0.018,0.051,0.796,0.678,0.008,0.018,0.007,0.293,0.013,0.012,0.112,0.205,0.097,0.085,0.054,0.064,0.053,0.064,0.011,0.287,0.014,0.018,0.033,0.038,0.097,0.008,0.039,0.028,0.009,0.012,0.01,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.005,0.015,2021,44.76185
"332","SS_6.0_15_CCOB_COMMONS_01_IMPACT_20201224_20201231","Commons",2020-12-24,2020-12-31,NA,NA,15.867,1.433,6.391,0.199,1.24,3.04,0.97,0.023,0.031,0.017,0.062,0.94,0.808,0.004,0.018,0.007,0.281,0.006,0.012,0.087,0.164,0.085,0.054,0.043,0.046,0.045,0.069,0.011,0.251,0.014,0.005,0.04,0.03,0.117,0.008,0.039,0.011,0.009,0.012,0.012,0.015,0.005,0.009,0.019,0.013,0.078,0.011,0.007,0.007,0.012,2045,42.29445
"333","SS_6.0_42_CCOB_COMMONS_01_IMPACT_20201231_20210107","Commons",2020-12-31,2021-01-07,NA,NA,15.959,1.697,4.39,0.253,0.929,2.018,1.062,0.027,0.042,0.02,0.045,0.736,0.607,0.011,0.018,0.007,0.249,0.011,0.028,0.102,0.194,0.085,0.072,0.045,0.074,0.068,0.066,0.011,0.368,0.014,0.019,0.047,0.045,0.153,0.008,0.06,0.053,0.009,0.012,0.021,0.015,0.005,0.009,0.035,0.013,0.078,0.011,0.007,0.003,0.013,2064,46.709
"334","SS_6.0_46_CCOB_COMMONS_01_IMPACT_20210107_20210114","Commons",2021-01-07,2021-01-14,NA,NA,23.704,2.316,8.803,0.343,1.754,4.339,1.371,0.036,0.054,0.028,0.095,1.398,1.274,0.004,0.018,0.007,0.533,0.013,0.054,0.187,0.282,0.163,0.114,0.068,0.079,0.098,0.145,0.011,0.492,0.049,0.024,0.069,0.06,0.259,0.008,0.089,0.036,0.009,0.012,0.03,0.015,0.014,0.009,0.052,0.029,0.078,0.011,0.007,0.007,0.02,2151,43.80335
"335","SS_6.0_55_CCOB_COMMONS_01_IMPACT_20210114_20210121","Commons",2021-01-14,2021-01-21,NA,NA,9.351,1.045,3.041,0.162,0.617,1.526,0.783,0.019,0.023,0.013,0.035,0.513,0.403,0.004,0.018,0.007,0.176,0.004,0.012,0.065,0.167,0.06,0.051,0.034,0.048,0.037,0.021,0.011,0.232,0.014,0.02,0.027,0.038,0.111,0.008,0.045,0.027,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.027,0.078,0.011,0.007,0.002,0.013,1985,43.55865
