"","Sampling.Site","Phase","Mud","Benzene","Ethylbenzene","Toluene","Xylenes","n.Octane","n.Nonane","n.Decane","Ozone","Aliphatic_low","Aromatic_medium","Styrene","C2HCl3","C2Cl4","Propene"
"1","Anthem","drilling","neoflow",0.1975,0.0515,0.43,0.299,0.4205,0.5535,0.838,47.30875,6.0995,0.261,0.008,0.015,0.0025,0.1265
"2","Anthem","pre",NA,0.1495,0.024,0.224,0.1095,0.046,0.035,0.028,45.11775,1.917,0.1775,0.008,0.011,0.0025,0.1115
"3","Anthem","prod",NA,0.1215,0.021,0.1945,0.096,0.039,0.025,0.013,45.044,1.6975,0.174,0.008,0.002,0.011,0.1025
"4","Commons",NA,NA,0.1575,0.035,0.2845,0.159,0.044,0.028,0.013,44.42625,2.111,0.191,0.008,0.004,0.01,0.148
"5","Interchange A","drilling","neoflow",0.229,0.052,0.49,0.338,0.195,0.163,0.512,42.1765,4.695,0.242,0.008,0.003,0.021,0.19
"6","Interchange A","pre",NA,0.131,0.028,0.259,0.148,0.074,0.048,0.045,45.294,2.573,0.193,0.008,0.001,0.015,0.116
"7","Interchange B","drilling","gibson",0.178,0.053,0.434,0.321,0.276,0.14,0.107,48.2055,5.555,NA,NA,0.012,0.002,0.131
"8","Interchange B","drilling","neoflow",0.167,0.041,0.345,0.293,0.3265,0.296,0.8655,49,4.8575,0.263,0.008,0.0015,0.0325,0.1155
"9","Interchange B","pre",NA,0.184,0.041,0.384,0.213,0.123,0.079,0.078,42.941,3.918,0.2015,0.008,0.009,0.01,0.172
"10","Interchange B","prod",NA,0.163,0.029,0.286,0.138,0.057,0.035,0.03,46.647,2.671,0.189,0.008,0.004,0.011,0.125
"11","Northwest A","drilling","neoflow",0.2875,0.07,0.535,0.323,0.316,0.3065,0.464,37.456,6.501,0.2395,0.008,0.029,0.004,0.2355
"12","Northwest A","pre",NA,0.154,0.028,0.273,0.18,0.131,0.093,0.065,40.5885,2.42,0.195,0.008,0.002,0.012,0.125
"13","Northwest A","prod",NA,0.2045,0.021,0.244,0.0935,0.0375,0.017,0.0205,56.838,1.6205,0.1765,0.008,0.0015,0.01,0.111
"14","Northwest B","drilling","neoflow",0.47,0.121,1.087,0.96,1.085,1.236,2.424,48.941,18.927,0.559,0.008,0.002,0.034,0.119
"15","Northwest B","pre",NA,0.1135,0.0195,0.1655,0.1265,0.0645,0.049,0.1,45.853,1.971,0.1825,0.008,0.002,0.0135,0.0875
"16","Northwest B","prod",NA,0.085,0.02,0.1795,0.093,0.042,0.0275,0.013,52.941,1.9415,0.179,0.008,0.0015,0.011,0.087
"17","United","drilling","neoflow",0.262,0.071,0.535,0.537,0.39,0.297,0.93,38.794,7.868,0.345,0.008,0.003,0.028,0.227
"18","United","pre",NA,0.125,0.026,0.235,0.135,0.064,0.044,0.036,45.294,2.426,0.185,0.008,0.002,0.012,0.108
"19","United","prod",NA,0.131,0.022,0.217,0.102,0.046,0.03,0.013,51.3235,2.474,0.18,0.008,0.002,0.013,0.108
"20","Wildgrass","drilling","neoflow",0.136,0.038,0.344,0.214,0.086,0.056,0.072,50.7945,2.771,0.185,0.008,0.014,0.002,0.128
"21","Wildgrass","none",NA,0.1085,0.0225,0.2115,0.0955,0.0375,0.027,0.013,47.1865,1.6185,0.1735,0.008,0.011,0.003,0.0985
"22","Wildgrass","prod",NA,0.126,0.023,0.205,0.106,0.036,0.026,0.013,44.441,1.6785,0.177,0.008,0.002,0.011,0.114
