Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-04_CCOB_INTERCHANGE_01_OG_20190530_20190606,CCOB_INTERCHANGE_01_OG,2019-05-30,2019-06-06,drilling,gibson,18.784,0.591,10.552,0.128,1.718,5.116,0.381,0.008,0.021,0.006,0.196,1.743,2.133,0.004,0.018,0.007,1.214,0.011,0.05,0.718,0.288,0.512,0.233,0.093,0.222,0.149,0.703,0.011,0.674,0.218,0.125,0.502,0.084,0.433,NA,0.163,0.321,0.032,0.035,0.112,0.015,0.021,0.041,NA,0.199,0.078,0.011,NA,0.042,0.002,1951
SS-6.0-32_CCOB_INTERCHANGE_02_OG_20190606_20190613,CCOB_INTERCHANGE_02_OG,2019-06-06,2019-06-13,drilling,gibson,17.241,0.476,9.675,0.1,1.781,4.973,0.27,0.009,0.02,0.006,0.173,1.774,2.066,0.004,0.018,0.007,1.063,0.01,0.047,0.488,0.226,0.432,0.188,0.061,0.145,0.121,0.489,0.011,0.487,0.14,0.105,0.288,0.053,0.248,NA,0.087,0.14,0.009,0.012,0.067,0.015,0.013,0.022,NA,0.095,0.078,0.011,NA,0.06,0.001,1936
SS-6.0-42_CCOB_INTERCHANGE_01_OG_20190606_20190613,CCOB_INTERCHANGE_01_OG,2019-06-06,2019-06-13,drilling,gibson,11.555,0.482,5.98,0.11,1.081,2.933,0.262,0.003,0.016,0.006,0.098,1.054,1.124,0.004,0.018,0.007,0.545,0.01,0.032,0.262,0.137,0.064,0.069,0.021,0.09,0.057,0.284,0.011,0.335,0.081,0.048,0.188,0.038,0.156,NA,0.056,0.088,0.037,0.012,0.041,0.015,0.005,0.009,NA,0.068,0.078,0.011,NA,0.014,0.001,1941
SS-6.0-50_CCOB_INTERCHANGE_02_OG_20190613_20190620,CCOB_INTERCHANGE_02_OG,2019-06-13,2019-06-20,drilling,gibson,17.321,0.531,10.384,0.171,1.891,5.555,0.278,0.007,0.032,0.006,0.215,1.92,2.368,0.004,0.018,0.007,1.296,0.01,0.054,0.694,0.276,0.549,0.262,0.095,0.232,0.172,0.822,0.011,0.695,0.241,0.22,0.561,0.098,0.418,NA,0.153,0.313,0.04,0.052,0.122,0.035,0.035,0.057,NA,0.221,0.078,0.011,NA,0.018,0.002,1883
SS-6.0-31_CCOB_INTERCHANGE_01_OG_20190613_20190620,CCOB_INTERCHANGE_01_OG,2019-06-13,2019-06-20,drilling,gibson,11.673,0.495,7.014,0.14,1.294,3.688,0.253,0.006,0.024,0.006,0.123,1.276,1.469,0.004,0.018,0.007,0.735,0.016,0.031,0.36,0.178,0.266,0.111,0.039,0.113,0.088,0.418,0.011,0.419,0.12,0.074,0.276,0.044,0.226,NA,0.075,0.146,0.009,0.012,0.058,0.015,0.011,0.025,NA,0.108,0.078,0.011,NA,0.012,0.002,1900
SS-6.0-40_CCOB_INTERCHANGE_02_OG_20190620_20190627,CCOB_INTERCHANGE_02_OG,2019-06-20,2019-06-27,drilling,gibson,13.209,0.571,7.23,0.158,1.26,3.71,0.342,0.009,0.03,0.006,0.165,1.433,1.694,0.004,0.018,0.007,1.034,0.04,0.047,0.599,0.268,0.429,0.187,0.069,0.194,0.104,0.656,0.011,0.622,0.208,0.094,0.477,0.079,0.376,NA,0.14,0.26,0.025,0.035,0.124,0.015,0.051,0.042,NA,0.177,0.078,0.011,NA,0.012,0.002,1952
SS-6.0-24_CCOB_INTERCHANGE_01_OG_20190620_20190627,CCOB_INTERCHANGE_01_OG,2019-06-20,2019-06-27,drilling,gibson,12.914,0.554,7.039,0.133,1.219,3.622,0.357,0.003,0.024,0.006,0.144,1.285,1.561,0.004,0.018,0.007,0.898,0.049,0.035,0.443,0.241,0.358,0.167,0.068,0.139,0.121,0.457,0.011,0.508,0.152,0.084,0.336,0.067,0.29,NA,0.106,0.17,0.009,0.012,0.07,0.015,NA,0.025,NA,0.083,0.078,0.011,NA,0.01,0.002,2039
SS-6.0-39_CCOB_INTERCHANGE_02_OG_20190627_20190705,CCOB_INTERCHANGE_02_OG,2019-06-27,2019-07-04,drilling,gibson,7.666,0.575,4.14,0.131,0.762,2.084,0.385,0.01,0.022,0.014,0.068,1.03,0.829,0.004,0.018,0.007,0.35,0.058,0.012,0.136,0.154,0.053,0.07,0.032,0.05,0.042,0.107,0.011,0.329,0.033,0.024,0.077,0.04,0.146,NA,0.055,0.05,0.009,0.012,0.04,0.015,0.005,0.009,NA,0.049,0.078,0.011,NA,0.004,0.019,1922
SS-6.0-45_CCOB_INTERCHANGE_01_OG_20190627_20190705,CCOB_INTERCHANGE_01_OG,2019-06-27,2019-07-04,drilling,gibson,8.009,0.565,4.408,0.131,0.765,2.137,0.365,0.007,0.026,0.006,0.064,0.967,0.856,0.004,0.018,0.007,0.326,0.045,0.012,0.129,0.145,0.084,0.057,0.03,0.051,0.043,0.093,0.011,0.327,0.014,0.019,0.094,0.036,0.152,NA,0.046,0.066,0.009,0.012,0.033,0.015,0.005,0.009,NA,0.069,0.078,0.011,NA,0.005,0.02,1916
SS-6.0-34_CCOB_INTERCHANGE_02_OG_20190711_20190718,CCOB_INTERCHANGE_02_OG,2019-07-11,2019-07-18,pre,NA,8.106,0.589,4.39,0.131,0.746,2.019,0.301,0.006,0.026,0.006,0.065,0.985,0.812,0.016,0.018,0.007,0.352,0.088,0.03,0.128,0.121,0.066,0.058,0.029,0.081,0.05,0.161,0.011,0.369,0.036,0.028,0.086,0.04,0.149,NA,0.056,0.043,0.009,0.012,0.037,0.015,0.005,0.009,NA,0.05,0.078,0.011,NA,0.035,0.002,1963
