Sample ID,Sampling Site,Start Date Time,Stop Date Time,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS_6.0_55_CCOB_COMMONS_01_IMPACT_20210114_20210121,CCOB_COMMONS_01_IMPACT,2021-01-14,2021-01-21,9.351,1.045,3.041,0.162,0.617,1.526,0.783,0.019,0.023,0.013,0.035,0.513,0.403,0.004,0.018,0.007,0.176,0.004,0.012,0.065,0.167,0.06,0.051,0.034,0.048,0.037,0.021,0.011,0.232,0.014,0.02,0.027,0.038,0.111,0.008,0.045,0.027,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.027,0.078,0.011,0.007,0.002,0.013,1985
SS_6.0_08_CCOB_COMMONS_01_IMPACT_20210121_20210128,CCOB_COMMONS_01_IMPACT,2021-01-21,2021-01-28,15.5,1.042,6.104,0.149,1.022,2.585,0.765,0.013,0.021,0.006,0.063,0.81,0.791,0.004,0.018,0.007,0.325,0.006,0.025,0.089,0.155,0.095,0.066,0.04,0.04,0.04,0.078,0.011,0.254,0.036,0.019,0.044,0.023,0.097,0.008,0.026,0.011,0.009,0.012,0.01,0.015,0.005,0.009,0.018,0.013,0.078,0.011,0.007,0.005,0.012,2086
SS_6.0_48_CCOB_COMMONS_01_IMPACT_20210128_20210204,CCOB_COMMONS_01_IMPACT,2021-01-28,2021-02-04,21.273,2.123,4.908,0.328,1.249,2.878,1.324,0.042,0.057,0.043,0.061,1.028,0.789,0.012,0.018,0.007,0.362,0.016,0.029,0.142,0.223,0.099,0.108,0.059,0.081,0.098,0.068,0.011,0.533,0.03,0.026,0.062,0.076,0.304,0.008,0.101,0.042,0.009,0.012,0.033,0.015,0.012,0.009,0.049,0.032,0.078,0.011,0.007,0.004,0.027,2078
SS_6.0_10_CCOB_COMMONS_01_IMPACT_20210204_20210211,CCOB_COMMONS_01_IMPACT,2021-02-04,2021-02-11,11.882,0.725,5.526,0.112,0.882,2.211,0.629,0.003,0.017,0.006,0.046,0.621,0.637,0.004,0.018,0.007,0.248,0.002,0.012,0.053,0.128,0.084,0.033,0.021,0.023,0.012,0.056,0.011,0.115,0.014,0.015,0.036,0.017,0.066,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.003,0.01,2039
SS_6.0_25_CCOB_COMMONS_01_IMPACT_20210211_20210218,CCOB_COMMONS_01_IMPACT,2021-02-11,2021-02-18,22.905,1.162,11.202,0.146,1.641,4.188,0.99,0.009,0.016,0.006,0.076,1.122,1.144,0.004,0.018,0.007,0.392,0.006,0.028,0.095,0.201,0.101,0.057,0.033,0.055,0.062,0.087,0.011,0.171,0.014,0.018,0.045,0.022,0.085,0.008,0.025,0.011,0.009,0.012,0.012,0.015,0.005,0.009,0.014,0.013,0.078,0.011,0.007,0.003,0.011,2166
SS_6.0_29_CCOB_COMMONS_01_IMPACT_20210218_20210225,CCOB_COMMONS_01_IMPACT,2021-02-18,2021-02-25,9.132,0.752,3.447,0.117,0.651,1.607,0.701,0.009,0.023,0.006,0.038,0.493,0.457,0.004,0.018,0.007,0.159,0.004,0.012,0.06,0.151,0.055,0.048,0.029,0.049,0.035,0.048,0.011,0.141,0.014,0.011,0.028,0.015,0.078,0.008,0.011,0.011,0.009,0.012,0.012,0.015,0.005,0.009,0.015,0.013,0.078,0.011,0.007,0.002,0.009,1980
SS_6.0_48_CCOB_COMMONS_01_IMPACT_20200225_20210304,CCOB_COMMONS_01_IMPACT,2021-02-25,2021-03-04,15.336,1.36,3.095,0.185,0.678,1.62,1.018,0.027,0.032,0.016,0.034,0.577,0.421,0.004,0.018,0.007,0.164,0.011,0.012,0.075,0.161,0.055,0.051,0.037,0.049,0.033,0.042,0.011,0.277,0.014,0.005,0.027,0.04,0.141,0.008,0.044,0.031,0.009,0.012,0.016,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.003,0.013,1993
SS_6.0_51_CCOB_COMMONS_01_IMPACT_20210304_20210311,CCOB_COMMONS_01_IMPACT,2021-03-04,2021-03-11,13.812,0.948,3.308,0.148,0.69,1.624,0.639,0.021,0.024,0.016,0.031,0.571,0.453,0.004,0.018,0.007,0.173,0.002,0.012,0.075,0.132,0.059,0.041,0.032,0.048,0.035,0.021,0.011,0.264,0.014,0.005,0.036,0.033,0.108,0.008,0.036,0.011,0.009,0.012,0.022,0.015,0.005,0.009,0.03,0.013,0.078,0.011,0.007,0.002,0.015,2035
SS_6.0_19_CCOB_COMMONS_01_IMPACT_20210311_20210318,CCOB_COMMONS_01_IMPACT,2021-03-11,2021-03-18,14.125,0.99,5.706,0.155,0.987,2.528,0.915,0.021,0.025,0.014,0.048,0.767,0.68,0.004,0.018,0.007,0.257,0.003,0.012,0.081,0.154,0.071,0.046,0.03,0.039,0.052,0.058,0.011,0.23,0.014,0.03,0.037,0.028,0.107,0.008,0.033,0.025,0.009,0.012,0.017,0.015,0.005,0.009,0.026,0.04,0.078,0.011,0.007,0.002,0.011,2062
SS_6.0_34_CCOB_COMMONS_01_IMPACT_20210318_20210325,CCOB_COMMONS_01_IMPACT,2021-03-18,2021-03-25,22.431,1.491,8.616,0.194,1.577,3.991,1.204,0.019,0.039,0.017,0.081,1.277,1.243,0.004,0.018,0.007,0.484,0.008,0.026,0.178,0.23,0.133,0.107,0.056,0.092,0.086,0.111,0.023,0.395,0.039,0.021,0.061,0.056,0.2,0.008,0.054,0.045,0.009,0.012,0.024,0.015,0.005,0.009,0.039,0.042,0.078,0.011,0.007,0.009,0.023,2146
SS_6.0_18_CCOB_COMMONS_01_IMPACT_20210318_20210325,CCOB_COMMONS_01_IMPACT,2021-03-25,2021-04-01,8.476,0.666,2.076,0.104,0.432,0.961,0.588,0.017,0.008,0.013,0.028,0.377,0.31,0.004,0.018,0.007,0.133,0.002,0.012,0.031,0.157,0.043,0.016,0.016,0.032,0.025,0.021,0.011,0.157,0.014,0.005,0.028,0.018,0.057,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.002,0.01,1982
SS_6.0_10_CCOB_COMMONS_01_IMPACT_20210401_20210408,CCOB_COMMONS_01_IMPACT,2021-04-01,2021-04-08,7.902,0.668,1.991,0.146,0.518,1.31,0.457,0.022,0.031,0.015,0.034,0.576,0.369,0.004,0.018,0.007,0.143,0.016,0.012,0.062,0.096,0.051,0.053,0.041,0.043,0.045,0.021,0.011,0.253,0.014,0.019,0.032,0.032,0.148,0.008,0.035,0.023,0.009,0.012,0.016,0.015,0.005,0.009,0.027,0.039,0.078,0.011,0.007,0.001,0.015,2052
SS_6.0_33_CCOB_COMMONS_01_IMPACT_20210408_20210415,CCOB_COMMONS_01_IMPACT,2021-04-08,2021-04-15,6.14,0.333,2.352,0.062,0.375,0.996,0.431,0.008,0.008,0.006,0.025,0.33,0.317,0.004,0.018,0.007,0.113,0.002,0.012,0.049,0.082,0.019,0.016,0.021,0.032,0.012,0.021,0.011,0.074,0.014,0.012,0.037,0.004,0.041,0.008,0.011,0.011,0.009,0.012,0.007,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.001,0.008,1919
SS_6.0_16_CCOB_COMMONS_01_IMPACT_20210415_20210422,CCOB_COMMONS_01_IMPACT,2021-04-15,2021-04-22,6.763,0.447,2.538,0.073,0.428,1.12,0.424,0.008,0.008,0.006,0.033,0.371,0.367,0.004,0.018,0.007,0.14,0.005,0.012,0.051,0.084,0.038,0.016,0.02,0.025,0.012,0.021,0.011,0.105,0.014,0.005,0.025,0.016,0.04,0.008,0.011,0.028,0.009,0.012,0.008,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.002,0.008,2006
SS_6.0_50_CCOB_COMMONS_01_IMPACT_20210422_20210429,CCOB_COMMONS_01_IMPACT,2021-04-22,2021-04-29,8.325,0.67,3.035,0.113,0.537,1.41,0.471,0.022,0.023,0.006,0.043,0.551,0.48,0.004,0.018,0.007,0.204,0.012,0.012,0.064,0.11,0.068,0.047,0.028,0.029,0.042,0.048,0.011,0.197,0.014,0.013,0.034,0.028,0.115,0.008,0.042,0.029,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.001,0.012,1954
SS_6.0_51_CCOB_COMMONS_01_IMPACT_20210429_20210506,CCOB_COMMONS_01_IMPACT,2021-04-29,2021-05-06,6.692,0.531,2.737,0.146,0.536,1.569,0.358,0.014,0.021,0.006,0.042,0.647,0.547,0.004,0.018,0.007,0.241,0.013,0.012,0.082,0.09,0.088,0.046,0.022,0.038,0.048,0.044,0.011,0.245,0.014,0.015,0.036,0.027,0.111,0.008,0.037,0.028,0.009,0.012,0.018,0.015,0.005,0.009,0.035,0.013,0.078,0.011,0.007,0.001,0.014,1888
SS_6.0_54_CCOB_COMMONS_01_IMPACT_20210506_20210513,CCOB_COMMONS_01_IMPACT,2021-05-06,2021-05-13,7.559,0.561,3.066,0.12,0.536,1.436,0.405,0.013,0.016,0.006,0.044,0.566,0.508,0.004,0.018,0.007,0.181,0.016,0.012,0.07,0.108,0.062,0.035,0.021,0.036,0.037,0.046,0.011,0.233,0.014,0.005,0.036,0.034,0.105,0.008,0.031,0.011,0.009,0.012,0.012,0.015,0.005,0.009,0.017,0.013,0.078,0.011,0.007,0.002,0.018,1984
SS_6.0_35_CCOB_COMMONS_01_IMPACT_20210513_20210520,CCOB_COMMONS_01_IMPACT,2021-05-13,2021-05-20,8.027,0.554,3.59,0.109,0.584,1.548,0.338,0.007,0.02,0.006,0.036,0.567,0.531,0.004,0.018,0.007,0.189,0.022,0.012,0.067,0.091,0.019,0.016,0.022,0.027,0.03,0.021,0.011,0.194,0.014,0.017,0.037,0.019,0.092,0.008,0.027,0.011,0.009,0.012,0.014,0.015,0.005,0.009,0.021,0.013,0.078,0.011,0.007,0.001,0.016,1966
SS_6.0_31_CCOB_COMMONS_01_IMPACT_20210520_20210527,CCOB_COMMONS_01_IMPACT,2021-05-20,2021-05-27,5.991,0.479,2.701,0.107,0.473,1.306,0.303,0.013,0.018,0.006,0.037,0.524,0.471,0.004,0.018,0.007,0.167,0.015,0.012,0.071,0.095,0.019,0.016,0.012,0.033,0.033,0.043,0.011,0.202,0.014,0.01,0.05,0.041,0.079,0.008,0.035,0.035,0.009,0.012,0.011,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.002,0.015,1943
SS_6.0_41_CCOB_COMMONS_01_IMPACT_20210527_20210603,CCOB_COMMONS_01_IMPACT,2021-05-27,2021-06-03,7.402,0.628,3.152,0.139,0.557,1.404,0.315,0.02,0.027,0.006,0.042,0.616,0.525,0.004,0.018,0.007,0.148,0.017,0.012,0.08,0.114,0.045,0.046,0.022,0.034,0.039,0.021,0.011,0.212,0.014,0.017,0.045,0.032,0.111,0.008,0.042,0.043,0.009,0.012,0.015,0.015,0.005,0.009,0.021,0.013,0.078,0.011,0.007,0.001,0.017,1959
SS_6.0_34_CCOB_COMMONS_01_IMPACT_20210603_20210610,CCOB_COMMONS_01_IMPACT,2021-06-03,2021-06-10,5.45,0.61,2.39,0.175,0.469,1.177,0.341,0.014,0.04,0.015,0.043,0.768,0.555,0.009,0.018,0.007,0.202,0.146,0.027,0.085,0.17,0.019,0.039,0.023,0.057,0.065,0.05,0.011,0.39,0.014,0.019,0.036,0.146,0.174,0.008,0.107,0.034,0.009,0.012,0.025,0.015,0.01,0.009,0.039,0.013,0.078,0.011,0.007,0.002,0.024,1910
SS_6.0_01_CCOB_COMMONS_01_IMPACT_20210610_20210617,CCOB_COMMONS_01_IMPACT,2021-06-10,2021-06-17,6.481,0.595,3.306,0.147,0.572,1.546,0.345,0.017,0.035,0.017,0.05,0.858,0.635,0.004,0.018,0.007,0.138,0.307,0.029,0.115,0.196,0.019,0.033,0.02,0.045,0.058,0.021,0.011,0.363,0.014,0.02,0.032,0.037,0.16,0.008,0.046,0.04,0.009,0.012,0.02,0.015,0.005,0.009,0.033,0.027,0.078,0.011,0.007,0.005,0.018,1907
SS_6.0_21_CCOB_COMMONS_01_IMPACT_20210617_20210624,CCOB_COMMONS_01_IMPACT,2021-06-17,2021-06-24,4.876,0.698,2.553,0.176,0.48,1.331,0.347,0.016,0.043,0.014,0.052,0.878,0.645,0.004,0.018,0.007,0.229,0.312,0.012,0.101,0.279,0.019,0.044,0.023,0.036,0.072,0.057,0.011,0.383,0.014,0.027,0.072,0.054,0.197,0.008,0.052,0.032,0.009,0.012,0.024,0.015,0.012,0.009,0.043,0.04,0.078,0.011,0.017,0.002,0.014,1902
SS_6.0_02_CCOB_COMMONS_01_IMPACT_20210624_20210701,CCOB_COMMONS_01_IMPACT,2021-06-24,2021-07-01,5.19,0.476,2.303,0.091,0.362,1.036,0.244,0.011,0.008,0.006,0.046,0.572,0.472,0.008,0.018,0.007,0.198,0.073,0.012,0.066,0.123,0.041,0.054,0.044,0.036,0.042,0.021,0.011,0.231,0.014,0.009,0.041,0.02,0.088,0.008,0.011,0.011,0.009,0.012,0.017,0.015,0.005,0.009,0.025,0.013,0.078,0.011,0.007,0.001,0.01,1925
SS_6.0_18_CCOB_COMMONS_01_IMPACT_20210701_20210708,CCOB_COMMONS_01_IMPACT,2021-07-01,2021-07-08,5.157,0.726,2.47,0.319,0.608,1.207,0.387,0.022,0.035,0.016,0.043,0.705,0.542,0.004,0.018,0.007,0.2,0.201,0.012,0.097,0.185,0.045,0.053,0.031,0.028,0.041,0.042,0.011,0.296,0.014,0.01,0.029,0.028,0.103,0.008,0.036,0.011,0.009,0.012,0.013,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.002,0.013,1940
SS_6.0_08_CCOB_COMMONS_01_IMPACT_20210708_20210715,CCOB_COMMONS_01_IMPACT,2021-07-08,2021-07-15,5.357,0.436,2.66,0.092,0.428,1.214,0.342,0.008,0.008,0.006,0.042,0.63,0.508,0.004,0.018,0.007,0.169,0.081,0.012,0.074,0.113,0.048,0.04,0.032,0.029,0.05,0.021,0.011,0.228,0.014,0.02,0.036,0.022,0.089,0.008,0.035,0.011,0.009,0.012,0.015,0.015,0.005,0.009,0.024,0.013,0.078,0.011,0.007,0.001,0.014,1971
SS_6.0_24_CCOB_COMMONS_01_IMPACT_20210715_20210722,CCOB_COMMONS_01_IMPACT,2021-07-15,2021-07-22,5.852,0.513,2.365,0.107,0.424,1.044,0.397,0.009,0.024,0.006,0.044,0.706,0.491,0.004,0.018,0.007,0.182,0.179,0.012,0.076,0.161,0.066,0.054,0.034,0.041,0.046,0.043,0.011,0.287,0.014,0.02,0.04,0.04,0.154,0.008,0.049,0.011,0.009,0.012,0.021,0.015,0.005,0.009,0.033,0.013,0.078,0.011,0.007,0.002,0.015,1946
SS_6.0_37_CCOB_COMMONS_01_IMPACT_20210722_20210729,CCOB_COMMONS_01_IMPACT,2021-07-22,2021-07-29,6.203,0.501,2.693,0.124,0.43,1.169,0.334,0.003,0.008,0.006,0.035,0.632,0.497,0.004,0.018,0.007,0.169,0.107,0.012,0.07,0.142,0.054,0.035,0.021,0.029,0.032,0.021,0.011,0.235,0.014,0.016,0.034,0.036,0.115,0.008,0.038,0.029,0.009,0.012,0.015,0.015,0.005,0.009,0.027,0.013,0.078,0.011,0.007,0.001,0.014,1923
SS_6.0_54_CCOB_COMMONS_01_IMPACT_20210729_20210805,CCOB_COMMONS_01_IMPACT,2021-07-29,2021-08-05,8.602,1.145,4.577,0.377,0.709,1.725,0.564,0.03,0.084,0.032,0.063,0.98,0.79,0.004,0.018,0.007,0.28,0.12,0.027,0.127,0.376,0.019,0.048,0.048,0.062,0.072,0.068,0.024,0.433,0.014,0.025,0.071,0.047,0.172,0.008,0.037,0.061,0.009,0.012,0.031,0.015,0.01,0.009,0.047,0.013,0.078,0.011,0.007,0.003,0.013,NA
SS_6.0_32_CCOB_COMMONS_01_IMPACT_20210805_20210812,CCOB_COMMONS_01_IMPACT,2021-08-05,2021-08-12,6.58,0.992,2.651,0.155,0.434,1.126,0.724,0.012,0.027,0.006,0.047,0.745,0.551,0.004,0.018,0.007,0.218,0.26,0.012,0.092,0.29,0.055,0.06,0.034,0.049,0.048,0.044,0.011,0.408,0.014,0.025,0.056,0.051,0.17,0.008,0.068,0.023,0.009,0.012,0.023,0.015,0.005,0.009,0.04,0.013,0.078,0.011,0.007,0.002,0.017,1984
SS_6.0_53_CCOB_COMMONS_01_IMPACT_20210812_20210819,CCOB_COMMONS_01_IMPACT,2021-08-12,2021-08-19,6.25,0.574,2.714,0.128,0.452,1.146,0.446,0.012,0.02,0.017,0.04,0.707,0.534,0.004,0.018,0.007,0.189,0.172,0.012,0.066,0.145,0.078,0.054,0.038,0.053,0.055,0.021,0.011,0.333,0.014,0.005,0.035,0.047,0.163,0.008,0.048,0.011,0.009,0.012,0.02,0.015,0.005,0.009,0.034,0.04,0.078,0.011,0.007,0.002,0.014,1941
SS_6.0_22_CCOB_COMMONS_01_IMPACT_20210819_20210826,CCOB_COMMONS_01_IMPACT,2021-08-19,2021-08-26,5.585,0.474,2.456,0.092,0.376,0.993,0.412,0.011,0.008,0.006,0.031,0.537,0.421,0.004,0.018,0.007,0.153,0.121,0.012,0.076,0.17,0.05,0.043,0.034,0.029,0.032,0.021,0.011,0.237,0.014,0.015,0.036,0.044,0.113,0.008,0.03,0.026,0.009,0.012,0.017,0.015,0.005,0.009,0.027,0.028,0.078,0.011,0.007,0.002,0.014,1963
SS_6.0_21_CCOB_COMMONS_01_IMPACT_20210826_20210902,CCOB_COMMONS_01_IMPACT,2021-08-26,2021-09-02,6.598,0.713,2.588,0.148,0.47,1.151,0.475,0.016,0.021,0.016,0.045,0.775,0.544,0.004,0.018,0.007,0.189,0.164,0.025,0.08,0.204,0.048,0.048,0.028,0.029,0.012,0.021,0.011,0.325,0.014,0.016,0.036,0.055,0.178,0.008,0.056,0.027,0.009,0.012,0.026,0.015,0.005,0.009,0.039,0.013,0.078,0.011,0.007,0.003,0.015,1963
SS_6.0_22_CCOB_COMMONS_01_IMPACT_20210902_20210909,CCOB_COMMONS_01_IMPACT,2021-09-02,2021-09-09,7.028,0.562,2.563,0.136,0.442,1.036,0.51,0.015,0.023,0.012,0.041,0.675,0.487,0.004,0.018,0.007,0.208,0.107,0.026,0.071,0.215,0.043,0.042,0.034,0.042,0.043,0.046,0.011,0.321,0.014,0.015,0.044,0.047,0.152,0.008,0.056,0.037,0.009,0.012,0.022,0.015,0.005,0.009,0.035,0.013,0.078,0.011,0.007,0.002,0.013,1948
SS_6.0_33_CCOB_COMMONS_01_IMPACT_20210909_20210916,CCOB_COMMONS_01_IMPACT,2021-09-09,2021-09-16,7.698,0.716,3.118,0.181,0.595,1.46,0.434,0.019,0.036,0.019,0.059,1.129,0.734,0.02,0.018,0.007,0.277,0.153,0.033,0.122,0.169,0.046,0.064,0.027,0.062,0.061,0.063,0.011,0.426,0.035,0.015,0.053,0.051,0.198,0.008,0.066,0.024,0.009,0.012,0.034,0.015,0.013,0.009,0.052,0.031,0.078,0.011,0.007,0.008,0.022,1946
SS_6.0_17_CCOB_COMMONS_01_IMPACT_20210916_20210923,CCOB_COMMONS_01_IMPACT,2021-09-16,2021-09-23,5.063,0.567,2.007,0.121,0.34,0.817,0.336,0.013,0.018,0.015,0.033,0.537,0.409,0.004,0.018,0.007,0.172,0.085,0.012,0.083,0.144,0.019,0.044,0.035,0.031,0.027,0.047,0.011,0.228,0.014,0.011,0.032,0.039,0.098,0.008,0.03,0.011,0.009,0.012,0.008,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.002,0.013,1953
SS_6.0_36_CCOB_COMMONS_01_IMPACT_20210923_20210930,CCOB_COMMONS_01_IMPACT,2021-09-23,2021-09-30,8.968,0.729,3.283,0.154,0.629,1.528,0.433,0.014,0.029,0.017,0.052,0.891,0.662,0.004,0.018,0.007,0.266,0.063,0.033,0.126,0.173,0.065,0.066,0.045,0.045,0.064,0.061,0.011,0.4,0.035,0.027,0.067,0.058,0.204,0.008,0.078,0.041,0.009,0.012,0.028,0.015,0.01,0.009,0.043,0.047,0.078,0.011,0.007,0.003,0.021,2012
SS_6.0_02_CCOB_COMMONS_01_IMPACT_20210930_20211007,CCOB_COMMONS_01_IMPACT,2021-09-30,2021-10-07,9.189,0.991,3.601,0.159,0.669,1.637,0.474,0.015,0.031,0.017,0.049,0.8,0.6,0.009,0.018,0.007,0.217,0.034,0.034,0.111,0.145,0.067,0.061,0.028,0.064,0.03,0.057,0.011,0.362,0.014,0.025,0.042,0.045,0.17,0.008,0.066,0.032,0.009,0.012,0.024,0.015,0.005,0.009,0.039,0.03,0.078,0.011,0.007,0.003,0.018,2004
SS_6.0_50_CCOB_COMMONS_01_IMPACT_20211007_20211014,CCOB_COMMONS_01_IMPACT,2021-10-07,2021-10-14,6.211,0.565,2.326,0.109,0.432,1.116,0.355,0.013,0.022,0.006,0.03,0.523,0.408,0.004,0.018,0.007,0.16,0.021,0.012,0.063,0.102,0.066,0.041,0.04,0.047,0.035,0.042,0.011,0.204,0.014,0.014,0.03,0.031,0.11,0.008,0.033,0.011,0.009,0.012,0.015,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.002,0.012,1957
SS_6.0_24_CCOB_COMMONS_01_IMPACT_20211014_20211021,CCOB_COMMONS_01_IMPACT,2021-10-14,2021-10-21,10.571,1.082,3.279,0.207,0.708,1.677,0.612,0.022,0.032,0.022,0.046,0.769,0.579,0.004,0.018,0.007,0.245,0.019,0.032,0.128,0.166,0.071,0.06,0.042,0.058,0.048,0.068,0.011,0.327,0.014,0.025,0.064,0.039,0.177,0.008,0.056,0.038,0.009,0.012,0.025,0.015,0.011,0.009,0.04,0.028,0.078,0.011,0.007,0.003,0.023,2029
SS_6.0_52_CCOB_COMMONS_01_IMPACT _20211021_20211028,CCOB_COMMONS_01_IMPACT,2021-10-21,2021-10-28,10.767,1.238,3.758,0.209,0.8,2.058,0.687,0.016,0.034,0.015,0.054,0.86,0.677,0.004,0.018,0.007,0.304,0.013,0.031,0.113,0.174,0.086,0.097,0.046,0.073,0.053,0.073,0.011,0.429,0.036,0.033,0.065,0.061,0.205,0.008,0.076,0.04,0.009,0.012,0.032,0.015,0.013,0.009,0.048,0.041,0.078,0.011,0.007,0.004,0.02,2065
SS_6.0_54_CCOB_COMMONS_01_IMPACT _20211028_20211104,CCOB_COMMONS_01_IMPACT,2021-10-28,2021-11-04,10.188,1.087,3.331,0.185,0.727,1.839,0.618,0.026,0.029,0.021,0.045,0.734,0.579,0.011,0.018,0.007,0.209,0.01,0.025,0.103,0.175,0.086,0.063,0.036,0.061,0.031,0.062,0.011,0.327,0.014,0.02,0.056,0.042,0.154,0.008,0.06,0.035,0.009,0.012,0.026,0.015,0.005,0.009,0.033,0.026,0.078,0.011,0.007,0.002,0.015,2014
SS_6.0_23_CCOB_COMMONS_01_IMPACT_20211104_20211111,CCOB_COMMONS_01_IMPACT,2021-11-04,2021-11-11,9.969,1.002,3.583,0.169,0.743,1.856,0.602,0.017,0.029,0.013,0.049,0.734,0.572,0.004,0.018,0.007,0.209,0.012,0.012,0.076,0.158,0.076,0.063,0.036,0.069,0.038,0.056,0.011,0.332,0.014,0.017,0.05,0.049,0.155,0.008,0.062,0.03,0.009,0.012,0.018,0.015,0.005,0.009,0.028,0.039,0.078,0.011,0.007,0.003,0.021,2012
SS_6.0_30_CCOB_COMMONS_01_IMPACT_20211111_20211118,CCOB_COMMONS_01_IMPACT,2021-11-11,2021-11-18,5.745,0.727,1.661,0.123,0.38,0.914,0.45,0.018,0.019,0.014,0.022,0.362,0.26,0.004,0.018,0.007,0.133,0.007,0.012,0.043,0.098,0.019,0.016,0.015,0.033,0.012,0.021,0.011,0.171,0.014,0.011,0.03,0.034,0.104,0.008,0.036,0.011,0.009,0.012,0.013,0.015,0.005,0.009,0.021,0.013,0.078,0.011,0.007,0.001,0.01,1961
SS_6.0_46_CCOB_COMMONS_01_IMPACT_20211118_20211125,CCOB_COMMONS_01_IMPACT,2021-11-18,2021-11-25,11.132,1.163,3.632,0.186,0.778,1.836,0.709,0.012,0.028,0.014,0.044,0.699,0.555,0.004,0.018,0.007,0.224,0.006,0.012,0.09,0.142,0.071,0.065,0.038,0.069,0.037,0.063,0.011,0.285,0.014,0.015,0.043,0.044,0.146,0.008,0.049,0.034,0.009,0.012,0.021,0.015,0.005,0.009,0.028,0.013,0.078,0.011,0.007,0.004,0.018,2409
SS_6.0_45_CCOB_COMMONS_01_IMPACT_20211125_20211202,CCOB_COMMONS_01_IMPACT,2021-11-25,2021-12-02,8.2,0.849,2.5,0.137,0.549,1.421,0.489,0.015,0.019,0.013,0.032,0.541,0.421,0.004,0.018,0.007,0.193,0.006,0.012,0.068,0.115,0.053,0.052,0.03,0.04,0.026,0.046,0.011,0.249,0.014,0.019,0.045,0.038,0.121,0.008,0.052,0.038,0.009,0.012,0.015,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.002,0.013,1984
SS_6.0_48_CCOB_COMMONS_01_IMPACT_20211202_20211209,CCOB_COMMONS_01_IMPACT,2021-12-02,2021-12-09,11.288,1.186,4.538,0.205,0.927,2.368,0.701,0.024,0.035,0.025,0.057,0.856,0.741,0.051,0.058,0.028,0.325,0.01,0.029,0.137,0.165,0.086,0.09,0.054,0.085,0.062,0.103,0.011,0.335,0.039,0.039,0.063,0.049,0.187,0.008,0.05,0.032,0.009,0.012,0.025,0.015,0.005,0.009,0.038,0.033,0.078,0.011,0.007,0.004,0.019,2010
SS_6.0_16_CCOB_COMMONS_01_IMPACT_20211209,CCOB_COMMONS_01_IMPACT,2021-12-09,2021-12-16,9.728,1.171,3.947,0.197,0.811,2.041,0.707,0.024,0.031,0.021,0.052,0.712,0.629,0.004,0.018,0.007,0.224,0.012,0.012,0.097,0.149,0.092,0.059,0.042,0.063,0.048,0.066,0.011,0.26,0.029,0.025,0.043,0.037,0.134,0.008,0.043,0.033,0.009,0.012,0.018,0.015,0.005,0.009,0.027,0.013,0.078,0.011,0.007,0.003,0.018,2011
SS_6.0_51_CCOB_COMMONS_01_IMPACT_20211216_20211223,CCOB_COMMONS_01_IMPACT,2021-12-16,2021-12-23,13.91,1.554,4.596,0.135,0.953,2.279,1.004,0.019,0.033,0.019,0.052,0.794,0.687,0.004,0.018,0.007,0.307,0.007,0.012,0.108,0.167,0.087,0.074,0.052,0.069,0.078,0.072,0.011,0.307,0.014,0.018,0.055,0.053,0.158,0.008,0.046,0.043,0.009,0.012,0.024,0.015,0.005,0.009,0.037,0.061,0.078,0.011,0.007,0.003,0.015,2024
